Kennziffer;Raumeinheit;Aggregat;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"378,7";"364,8";"373,3";"431,1";"472,6";"442,2";"383,2";"375,7";"369,0";"396,3";"416,2";"520,5";"572,8";"600,7";"498,5";"472,8";"494,7";"381,0";"489,5";"452,9";"529,8";"522,3";"681,6"
"05515";"Münster, Stadt";"krsfr. Stadt";"621,4";"655,2";"688,7";"811,5";"798,2";"772,2";"731,4";"652,6";"636,2";"804,2";"759,9";"905,7";"806,7";"910,3";"874,5";"846,2";"883,1";"868,1";"893,5";"902,7";"974,0";"1.012,7";"1.072,2"
"05554";"Borken";"Landkreis";"437,3";"414,6";"425,3";"463,1";"470,0";"488,6";"458,3";"426,7";"427,6";"462,9";"470,6";"512,4";"586,1";"640,7";"575,7";"572,9";"631,1";"699,1";"710,0";"690,6";"745,0";"792,8";"833,5"
"05558";"Coesfeld";"Landkreis";"440,8";"385,7";"409,8";"430,3";"444,3";"451,5";"437,0";"422,1";"428,8";"431,0";"442,7";"485,0";"526,0";"578,8";"550,9";"548,3";"599,6";"634,8";"649,3";"678,2";"702,5";"780,1";"781,2"
"05562";"Recklinghausen";"Landkreis";"414,5";"392,4";"402,7";"436,5";"436,6";"443,1";"421,1";"405,8";"395,1";"404,8";"405,6";"441,8";"487,2";"518,4";"503,8";"479,5";"531,0";"550,3";"571,2";"594,6";"619,4";"656,3";"696,4"
"05566";"Steinfurt";"Landkreis";"405,5";"391,0";"402,5";"424,7";"448,9";"452,0";"429,8";"410,6";"414,6";"432,8";"442,8";"497,3";"531,9";"584,3";"524,5";"510,9";"570,9";"606,0";"630,2";"639,5";"691,3";"721,8";"769,3"
"05570";"Warendorf";"Landkreis";"486,6";"443,9";"460,6";"496,3";"517,3";"518,4";"488,9";"441,9";"439,7";"465,1";"477,9";"543,8";"614,2";"636,8";"582,5";"564,7";"655,4";"668,0";"696,8";"691,0";"714,3";"753,5";"788,5"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"559,4";"527,7";"549,3";"577,3";"617,9";"603,7";"569,5";"520,6";"513,4";"505,8";"538,4";"628,7";"690,9";"760,1";"612,6";"638,5";"687,0";"691,2";"683,0";"697,4";"733,7";"779,8";"851,5"
"05754";"Gütersloh";"Landkreis";"610,6";"580,6";"595,0";"638,3";"655,1";"666,8";"610,2";"582,8";"566,8";"614,0";"610,2";"729,4";"805,6";"893,3";"771,0";"755,4";"839,2";"907,6";"934,6";"1.000,8";"979,7";"980,1";"1.085,1"
"05758";"Herford";"Landkreis";"572,3";"538,9";"545,5";"575,5";"580,5";"607,3";"560,8";"528,7";"513,4";"563,5";"590,5";"616,8";"648,5";"670,7";"624,5";"629,7";"660,0";"703,8";"701,9";"711,7";"740,2";"792,5";"841,7"
"05762";"Höxter";"Landkreis";"403,4";"377,8";"401,7";"428,6";"432,3";"430,8";"402,4";"396,2";"379,3";"400,9";"401,4";"434,0";"478,4";"526,0";"462,4";"482,3";"501,0";"523,4";"546,6";"560,6";"594,6";"621,4";"680,4"
"05766";"Lippe";"Landkreis";"488,5";"465,2";"466,4";"509,8";"520,1";"519,4";"506,8";"466,5";"451,2";"488,5";"474,6";"517,7";"586,1";"664,9";"536,7";"548,2";"629,0";"644,5";"663,5";"645,6";"684,1";"703,6";"768,0"
"05770";"Minden-Lübbecke";"Landkreis";"501,6";"485,2";"480,7";"501,8";"529,1";"570,5";"516,6";"460,8";"450,4";"504,0";"502,0";"534,3";"607,9";"662,6";"591,9";"587,9";"673,9";"659,9";"687,0";"682,4";"741,7";"777,4";"853,6"
"05774";"Paderborn";"Landkreis";"462,2";"430,4";"439,4";"489,0";"487,3";"492,3";"464,9";"451,5";"476,5";"472,1";"484,2";"534,2";"553,9";"630,0";"563,4";"555,7";"580,6";"639,4";"674,0";"665,2";"705,0";"738,8";"784,6"
"05911";"Bochum, Stadt";"krsfr. Stadt";"465,7";"438,7";"446,4";"505,2";"515,7";"534,2";"510,6";"481,4";"472,6";"468,6";"550,3";"549,8";"599,2";"671,4";"550,4";"586,9";"605,9";"622,8";"635,4";"636,5";"700,6";"733,3";"757,1"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"467,7";"458,4";"453,0";"487,9";"507,0";"495,3";"464,3";"472,2";"427,4";"455,9";"474,0";"585,4";"572,3";"624,8";"551,0";"601,8";"616,2";"623,8";"631,3";"655,8";"687,1";"717,0";"791,7"
"05914";"Hagen, Stadt";"krsfr. Stadt";"483,5";"485,6";"483,8";"507,1";"575,5";"576,0";"553,1";"510,7";"459,5";"494,3";"539,9";"584,0";"597,8";"633,4";"533,4";"543,9";"636,3";"608,1";"635,0";"610,9";"664,5";"666,3";"753,8"
"05915";"Hamm, Stadt";"krsfr. Stadt";"381,1";"354,3";"367,8";"406,1";"435,4";"422,0";"388,2";"378,2";"352,9";"388,0";"390,5";"434,3";"470,6";"520,3";"470,6";"462,1";"506,6";"527,1";"538,5";"555,9";"568,7";"577,4";"627,6"
"05916";"Herne, Stadt";"krsfr. Stadt";"359,9";"363,9";"360,5";"391,5";"399,6";"390,4";"382,3";"371,6";"349,5";"363,9";"374,9";"365,1";"425,5";"451,7";"437,5";"399,3";"480,7";"487,3";"476,1";"500,8";"520,1";"546,4";"578,5"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"546,2";"501,6";"488,8";"538,3";"578,8";"548,9";"520,1";"532,6";"501,7";"548,3";"558,5";"609,9";"676,8";"781,8";"640,9";"617,7";"708,9";"758,8";"763,0";"764,5";"788,4";"814,6";"870,3"
"05958";"Hochsauerlandkreis";"Landkreis";"468,9";"444,3";"468,5";"511,0";"526,0";"510,8";"482,8";"463,3";"474,0";"482,0";"501,3";"557,2";"574,8";"655,6";"571,4";"593,3";"618,3";"672,9";"690,1";"714,3";"754,2";"781,2";"856,1"
"05962";"Märkischer Kreis";"Landkreis";"556,0";"524,0";"505,5";"562,2";"585,4";"580,3";"540,2";"532,4";"521,9";"544,0";"556,7";"627,4";"699,3";"770,9";"595,4";"615,3";"708,6";"756,5";"760,5";"780,0";"798,7";"831,5";"906,1"
"05966";"Olpe";"Landkreis";"562,1";"484,9";"527,5";"562,7";"586,2";"594,3";"541,6";"521,5";"505,6";"555,7";"616,0";"680,8";"743,1";"743,7";"675,2";"658,2";"811,0";"839,9";"807,2";"886,2";"895,2";"967,3";"972,8"
"05970";"Siegen-Wittgenstein";"Landkreis";"523,2";"491,5";"495,5";"562,3";"577,2";"583,6";"524,3";"505,4";"485,4";"521,9";"545,1";"624,5";"757,0";"786,7";"675,3";"659,9";"797,1";"852,6";"791,1";"810,1";"838,2";"862,7";"943,1"
"05974";"Soest";"Landkreis";"487,6";"445,0";"436,2";"464,5";"493,7";"527,2";"469,8";"469,4";"438,4";"455,4";"455,8";"522,6";"565,6";"622,3";"595,1";"565,6";"644,0";"651,1";"679,1";"683,8";"728,6";"757,3";"826,8"
"05978";"Unna";"Landkreis";"427,7";"402,6";"398,3";"433,5";"470,7";"462,2";"427,9";"419,7";"408,0";"426,9";"423,0";"474,0";"529,4";"573,7";"529,9";"526,5";"577,9";"629,9";"624,7";"648,6";"658,5";"678,3";"748,1"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"635,6";"655,2";"703,0";"723,5";"703,1";"681,2";"735,3";"653,9";"640,9";"697,7";"949,4";"834,4";"992,7";"1.036,1";"1.005,1";"917,7";"807,3";"1.153,7";"927,9";"1.123,6";"1.072,1";"1.258,7";"1.163,9"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"866,0";"931,0";"937,4";"1.140,4";"1.311,9";"1.344,6";"1.062,6";"963,5";"1.000,4";"1.166,2";"1.182,7";"1.526,3";"1.697,6";"1.771,5";"1.389,8";"1.452,9";"1.422,0";"1.603,9";"1.565,6";"1.753,6";"1.796,0";"1.843,2";"1.876,2"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"610,8";"589,7";"578,1";"657,1";"769,1";"775,0";"698,7";"528,6";"570,2";"639,7";"619,4";"608,9";"686,1";"789,2";"641,9";"615,1";"679,2";"698,3";"728,9";"728,0";"755,6";"828,3";"789,4"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"712,2";"688,0";"661,6";"754,3";"837,9";"865,1";"838,8";"735,1";"724,6";"772,6";"846,2";"926,2";"997,7";"1.053,7";"869,6";"886,5";"906,8";"981,3";"1.153,2";"1.086,1";"1.132,3";"1.247,9";"1.332,5"
"06431";"Bergstraße";"Landkreis";"506,6";"467,9";"481,3";"520,8";"539,6";"577,7";"574,2";"574,7";"533,9";"547,4";"543,2";"600,3";"739,0";"786,9";"680,8";"668,0";"721,9";"733,5";"792,7";"832,3";"864,7";"889,1";"979,4"
"06432";"Darmstadt-Dieburg";"Landkreis";"539,8";"515,5";"506,7";"516,7";"577,3";"592,8";"590,3";"597,4";"590,4";"613,3";"575,6";"633,8";"726,4";"767,4";"705,1";"694,1";"751,5";"788,2";"823,3";"845,5";"852,6";"917,5";"986,1"
"06433";"Groß-Gerau";"Landkreis";"592,1";"572,4";"578,5";"693,2";"711,4";"679,5";"675,9";"631,7";"602,2";"606,7";"664,4";"706,8";"783,2";"848,1";"709,2";"753,2";"819,3";"729,8";"767,4";"822,3";"847,8";"866,1";"935,8"
"06434";"Hochtaunuskreis";"Landkreis";"728,2";"713,9";"738,5";"736,4";"799,0";"899,4";"858,1";"766,2";"780,3";"838,8";"853,9";"1.022,1";"1.203,3";"1.260,1";"1.105,9";"1.023,4";"1.044,6";"1.107,2";"1.165,8";"1.250,1";"1.261,4";"1.304,7";"1.405,4"
"06435";"Main-Kinzig-Kreis";"Landkreis";"495,4";"488,1";"504,8";"550,9";"586,6";"632,7";"622,7";"575,0";"546,2";"560,2";"564,6";"623,8";"732,3";"804,8";"652,3";"691,2";"742,5";"739,3";"771,9";"818,3";"830,4";"896,8";"967,7"
"06436";"Main-Taunus-Kreis";"Landkreis";"761,6";"712,4";"722,2";"760,3";"1.231,6";"1.016,6";"1.067,8";"966,7";"921,3";"882,0";"986,7";"1.300,8";"1.489,9";"1.318,9";"1.349,8";"1.314,9";"1.425,1";"1.427,3";"1.405,4";"1.461,6";"1.440,9";"1.672,2";"1.753,7"
"06437";"Odenwaldkreis";"Landkreis";"419,2";"391,0";"431,9";"455,3";"482,0";"488,9";"478,5";"460,7";"434,2";"422,9";"489,6";"507,1";"559,7";"561,2";"530,1";"545,0";"573,0";"578,6";"621,2";"639,1";"652,3";"675,3";"747,3"
"06438";"Offenbach";"Landkreis";"736,4";"673,3";"661,6";"675,3";"701,7";"773,9";"734,0";"695,7";"700,1";"711,1";"729,9";"804,6";"897,6";"978,8";"819,1";"796,1";"876,7";"891,4";"939,5";"970,3";"1.000,3";"1.055,4";"1.111,4"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"513,6";"472,0";"486,0";"499,4";"552,8";"598,7";"578,0";"570,1";"566,6";"556,6";"565,8";"653,3";"710,3";"775,6";"700,7";"684,5";"735,0";"764,5";"779,3";"823,3";"834,9";"871,9";"947,4"
"06440";"Wetteraukreis";"Landkreis";"495,2";"456,9";"483,8";"496,9";"569,3";"684,8";"778,5";"546,2";"574,3";"560,9";"570,3";"628,5";"710,6";"743,8";"643,2";"635,0";"701,2";"695,7";"744,3";"763,0";"773,3";"818,9";"894,1"
"06531";"Gießen";"Landkreis";"442,8";"434,1";"458,9";"483,2";"515,2";"554,7";"513,9";"513,1";"485,5";"491,6";"528,5";"584,5";"602,9";"649,0";"569,2";"565,0";"633,1";"652,0";"682,0";"691,4";"714,0";"760,6";"846,7"
"06532";"Lahn-Dill-Kreis";"Landkreis";"490,0";"441,6";"500,9";"504,6";"528,6";"557,1";"589,6";"535,8";"498,5";"492,5";"582,6";"612,3";"724,4";"770,6";"651,7";"611,6";"692,5";"737,8";"829,5";"809,2";"781,8";"855,7";"919,0"
"06533";"Limburg-Weilburg";"Landkreis";"440,7";"413,6";"434,7";"452,9";"493,0";"520,9";"499,4";"505,2";"463,6";"457,3";"485,0";"560,3";"596,6";"669,8";"600,6";"580,6";"622,8";"649,4";"648,9";"693,6";"732,9";"763,7";"868,4"
"06534";"Marburg-Biedenkopf";"Landkreis";"479,2";"562,3";"492,1";"501,5";"504,7";"579,5";"552,3";"501,9";"521,7";"499,1";"552,9";"606,1";"694,2";"780,1";"682,9";"681,5";"713,7";"803,7";"853,1";"843,9";"1.005,5";"961,9";"951,3"
"06535";"Vogelsbergkreis";"Landkreis";"384,9";"359,9";"397,9";"412,2";"452,7";"469,2";"450,2";"426,8";"401,8";"410,7";"456,1";"461,5";"527,4";"567,1";"487,9";"489,4";"553,5";"569,1";"589,8";"606,5";"620,9";"659,0";"723,9"
"06611";"Kassel, Stadt";"krsfr. Stadt";"509,6";"488,8";"500,3";"515,2";"595,6";"626,3";"571,9";"583,9";"541,9";"574,1";"616,5";"674,1";"754,2";"800,9";"719,2";"796,0";"788,2";"837,1";"847,2";"827,5";"913,8";"941,0";"1.012,8"
"06631";"Fulda";"Landkreis";"425,6";"411,7";"472,3";"462,9";"470,7";"492,8";"470,2";"455,4";"443,7";"451,3";"476,3";"521,9";"577,4";"658,2";"578,7";"537,5";"623,4";"635,0";"664,6";"683,3";"720,4";"773,2";"812,9"
"06632";"Hersfeld-Rotenburg";"Landkreis";"407,0";"382,6";"411,1";"413,8";"452,0";"464,9";"460,5";"443,6";"401,6";"409,0";"466,5";"473,4";"568,1";"724,8";"533,8";"533,6";"706,9";"662,1";"652,8";"645,0";"720,7";"677,2";"680,5"
"06633";"Kassel";"Landkreis";"427,7";"405,0";"456,9";"491,2";"558,8";"579,9";"520,2";"496,5";"444,4";"452,2";"480,7";"531,7";"616,0";"682,6";"625,2";"651,4";"694,7";"773,4";"682,5";"762,6";"720,9";"768,6";"833,9"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"393,8";"369,4";"410,4";"423,4";"462,6";"465,3";"445,6";"437,4";"402,0";"402,5";"418,0";"450,0";"512,8";"543,4";"503,1";"504,0";"535,4";"532,7";"564,7";"585,6";"620,4";"667,7";"720,0"
"06635";"Waldeck-Frankenberg";"Landkreis";"414,2";"379,7";"405,4";"424,4";"455,6";"485,2";"470,1";"468,8";"446,3";"460,3";"479,3";"522,0";"558,0";"544,6";"533,7";"526,2";"615,7";"590,3";"635,1";"672,7";"662,7";"722,4";"775,4"
"06636";"Werra-Meißner-Kreis";"Landkreis";"376,5";"351,2";"389,1";"400,1";"421,5";"453,7";"428,9";"415,6";"393,0";"381,7";"394,0";"416,5";"457,8";"491,3";"442,4";"457,6";"475,3";"485,9";"508,1";"532,8";"553,3";"575,8";"627,5"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"546,5";"585,8";"558,0";"627,8";"602,5";"635,2";"562,0";"610,9";"602,2";"725,2";"747,3";"958,4";"840,1";"982,5";"776,1";"828,5";"898,9";"932,3";"1.075,9";"930,1";"929,0";"1.090,4";"1.124,0"
"07131";"Ahrweiler";"Landkreis";"401,7";"370,4";"380,8";"385,9";"396,5";"395,3";"383,0";"365,7";"383,9";"384,2";"388,3";"428,5";"475,2";"517,3";"475,9";"501,3";"551,3";"575,4";"590,1";"620,2";"635,5";"632,6";"687,3"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"359,8";"340,0";"342,9";"370,9";"383,4";"379,9";"371,6";"360,3";"340,4";"339,7";"363,8";"411,9";"446,8";"502,1";"456,7";"469,0";"501,6";"567,7";"566,0";"601,8";"616,7";"611,5";"663,2"
"07133";"Bad Kreuznach";"Landkreis";"408,2";"375,4";"387,7";"417,3";"399,0";"391,3";"396,3";"379,1";"368,6";"388,9";"425,1";"442,6";"486,9";"516,6";"495,0";"481,6";"556,8";"579,1";"569,4";"592,6";"634,1";"630,5";"692,0"
"07134";"Birkenfeld";"Landkreis";"401,5";"385,6";"376,4";"381,9";"401,5";"408,3";"375,3";"374,3";"369,8";"379,7";"395,7";"450,5";"457,5";"509,2";"442,5";"464,7";"506,4";"527,7";"536,5";"562,9";"568,9";"574,2";"618,9"
"07135";"Cochem-Zell";"Landkreis";"332,4";"304,1";"324,7";"341,7";"364,9";"367,9";"351,7";"327,4";"323,1";"339,1";"380,4";"382,9";"407,1";"442,4";"425,7";"433,1";"476,6";"524,0";"521,9";"535,8";"549,1";"588,6";"636,4"
"07137";"Mayen-Koblenz";"Landkreis";"443,8";"399,0";"411,7";"420,7";"441,2";"434,3";"417,0";"388,6";"402,4";"422,4";"435,5";"504,9";"554,7";"587,6";"526,4";"560,5";"618,5";"657,6";"678,6";"681,6";"710,1";"681,7";"755,7"
"07138";"Neuwied";"Landkreis";"467,4";"455,3";"400,1";"437,3";"481,9";"484,5";"456,5";"419,5";"451,3";"459,6";"501,0";"552,8";"609,2";"668,6";"577,0";"594,0";"646,7";"675,6";"695,7";"674,7";"713,0";"770,4";"803,9"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"372,0";"345,6";"354,5";"377,9";"391,6";"396,8";"378,4";"363,5";"367,4";"393,4";"427,3";"502,0";"543,6";"564,0";"504,0";"515,3";"573,5";"613,2";"626,3";"659,1";"665,6";"688,6";"756,4"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"380,1";"344,9";"340,8";"380,2";"382,2";"399,1";"370,5";"369,7";"375,2";"376,2";"415,1";"440,4";"469,6";"510,1";"479,0";"471,2";"562,1";"589,2";"604,4";"583,5";"597,3";"633,1";"674,1"
"07143";"Westerwaldkreis";"Landkreis";"404,2";"380,7";"390,4";"416,6";"433,7";"441,2";"411,6";"400,1";"398,3";"438,7";"441,1";"498,3";"564,1";"608,4";"579,6";"538,0";"620,5";"640,3";"661,7";"681,3";"746,7";"782,3";"816,4"
"07211";"Trier, Stadt";"krsfr. Stadt";"422,9";"431,6";"443,4";"452,0";"457,2";"460,1";"416,0";"399,4";"441,4";"455,5";"488,0";"552,8";"545,4";"603,2";"512,2";"519,2";"600,7";"639,6";"624,8";"666,5";"672,0";"669,7";"730,5"
"07231";"Bernkastel-Wittlich";"Landkreis";"366,3";"356,4";"351,8";"397,5";"405,7";"399,4";"395,7";"393,7";"363,8";"376,7";"407,4";"462,4";"492,3";"557,3";"506,1";"558,8";"574,6";"612,4";"619,6";"651,3";"654,6";"690,1";"775,5"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"360,3";"340,1";"332,8";"364,0";"376,5";"379,9";"362,5";"357,0";"364,7";"322,6";"335,0";"380,0";"415,2";"467,7";"449,1";"442,5";"477,7";"507,3";"511,6";"520,3";"545,8";"581,5";"605,7"
"07233";"Vulkaneifel";"Landkreis";"349,9";"325,3";"339,3";"361,7";"364,6";"379,8";"356,0";"372,7";"371,6";"426,4";"408,6";"446,7";"436,7";"545,4";"430,2";"515,0";"531,5";"569,3";"567,1";"554,8";"617,8";"628,5";"686,4"
"07235";"Trier-Saarburg";"Landkreis";"312,6";"288,4";"296,8";"313,2";"327,3";"326,2";"320,1";"302,3";"304,2";"311,5";"334,5";"359,0";"386,0";"445,2";"386,1";"394,0";"426,5";"453,7";"448,9";"471,0";"482,4";"491,4";"525,7"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"488,2";"522,8";"466,0";"513,5";"499,9";"520,6";"481,1";"460,9";"453,9";"438,3";"522,8";"512,1";"605,6";"668,0";"540,8";"580,6";"652,6";"685,9";"659,9";"704,3";"688,3";"649,2";"757,4"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"459,8";"470,2";"491,1";"528,7";"519,4";"477,0";"446,7";"436,6";"442,6";"438,8";"461,0";"512,1";"596,1";"623,8";"602,8";"582,7";"661,5";"710,0";"692,5";"694,2";"800,1";"753,4";"873,4"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"454,5";"454,4";"450,9";"476,4";"487,1";"500,2";"503,9";"433,4";"435,1";"472,8";"489,3";"549,7";"587,3";"655,8";"591,4";"572,9";"683,8";"737,3";"730,7";"753,2";"772,1";"735,5";"827,2"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"774,3";"837,2";"805,9";"973,4";"822,8";"1.116,7";"643,5";"767,9";"582,4";"748,9";"881,7";"867,2";"994,3";"998,0";"663,0";"1.035,8";"1.129,6";"1.221,6";"1.046,4";"1.071,7";"1.110,1";"1.172,1";"1.105,7"
"07315";"Mainz, Stadt";"krsfr. Stadt";"626,2";"688,3";"609,4";"671,0";"688,5";"753,0";"643,8";"606,9";"555,2";"656,2";"631,5";"757,8";"769,8";"831,9";"728,7";"736,5";"712,8";"830,7";"907,4";"848,6";"921,2";"955,0";"996,6"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"459,2";"446,4";"477,1";"489,3";"468,8";"466,1";"434,5";"442,1";"462,7";"481,6";"528,3";"495,4";"567,9";"618,6";"557,0";"550,1";"621,7";"660,1";"674,0";"718,2";"761,8";"717,1";"780,0"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"479,0";"475,3";"437,1";"452,7";"418,8";"444,4";"439,4";"463,7";"417,7";"456,1";"443,2";"485,9";"518,3";"630,2";"514,0";"539,9";"569,1";"648,0";"608,4";"678,7";"632,5";"676,2";"696,3"
"07318";"Speyer, Stadt";"krsfr. Stadt";"501,5";"456,4";"469,1";"490,0";"505,3";"549,5";"571,5";"504,9";"485,7";"572,5";"589,1";"616,5";"663,9";"748,2";"658,7";"650,2";"795,8";"916,1";"907,5";"900,1";"921,1";"939,7";"1.020,0"
"07319";"Worms, Stadt";"krsfr. Stadt";"486,3";"427,1";"442,8";"478,1";"495,5";"518,2";"493,3";"473,3";"447,3";"494,4";"470,2";"510,4";"555,3";"611,7";"520,5";"566,7";"633,7";"686,9";"699,0";"711,2";"730,8";"798,0";"856,2"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"415,7";"427,5";"376,8";"407,9";"538,3";"503,0";"398,4";"387,6";"368,8";"441,8";"454,8";"596,3";"526,1";"784,8";"744,5";"559,6";"522,6";"994,8";"682,7";"715,7";"718,1";"694,3";"861,7"
"07331";"Alzey-Worms";"Landkreis";"368,3";"337,4";"342,2";"356,2";"363,5";"386,4";"361,8";"345,0";"369,6";"375,0";"395,3";"449,7";"497,2";"547,3";"518,1";"523,7";"590,3";"605,7";"604,2";"613,5";"657,8";"664,4";"713,0"
"07332";"Bad Dürkheim";"Landkreis";"443,5";"419,3";"403,8";"419,3";"442,4";"448,3";"408,8";"405,7";"421,8";"431,1";"449,9";"483,1";"517,0";"574,6";"539,7";"530,2";"580,3";"652,2";"648,1";"682,4";"686,4";"686,3";"769,8"
"07333";"Donnersbergkreis";"Landkreis";"362,6";"319,2";"329,4";"370,6";"358,9";"351,9";"330,5";"357,8";"336,5";"340,5";"396,9";"436,7";"507,9";"535,4";"480,3";"461,5";"587,8";"596,7";"689,5";"650,4";"620,2";"672,1";"714,6"
"07334";"Germersheim";"Landkreis";"463,7";"421,4";"390,6";"434,0";"437,4";"440,6";"431,9";"372,7";"413,1";"452,1";"409,4";"475,2";"544,8";"540,7";"476,1";"538,4";"633,1";"695,2";"652,2";"748,2";"848,4";"841,3";"904,4"
"07335";"Kaiserslautern";"Landkreis";"365,7";"333,0";"325,2";"345,4";"357,5";"362,5";"347,3";"338,6";"350,6";"357,8";"377,5";"424,2";"438,1";"514,0";"456,8";"459,4";"517,7";"540,4";"548,6";"560,6";"587,4";"581,4";"637,4"
"07336";"Kusel";"Landkreis";"378,3";"339,3";"330,8";"346,2";"350,0";"343,7";"341,0";"325,9";"330,3";"347,5";"350,2";"347,6";"387,7";"417,5";"384,1";"390,8";"425,0";"444,0";"460,2";"471,9";"502,4";"509,3";"549,1"
"07337";"Südliche Weinstraße";"Landkreis";"390,8";"377,2";"370,6";"398,4";"402,6";"399,7";"372,8";"373,7";"385,9";"406,9";"424,3";"449,9";"513,7";"550,4";"508,7";"502,8";"544,5";"586,1";"630,4";"633,2";"672,3";"674,4";"734,3"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"493,5";"445,0";"439,0";"471,6";"457,7";"473,6";"450,6";"434,8";"445,0";"464,5";"484,3";"515,0";"555,1";"607,3";"557,3";"572,4";"634,3";"652,6";"661,6";"704,4";"719,8";"728,1";"774,9"
"07339";"Mainz-Bingen";"Landkreis";"491,6";"435,9";"447,4";"474,7";"598,8";"543,3";"584,7";"568,3";"560,7";"583,3";"665,8";"998,8";"983,2";"1.047,5";"979,4";"953,3";"963,7";"1.102,5";"1.222,0";"1.215,3";"1.325,3";"1.296,0";"1.450,8"
"07340";"Südwestpfalz";"Landkreis";"365,3";"340,9";"337,1";"337,0";"355,6";"352,5";"349,8";"335,4";"326,8";"339,7";"351,4";"393,7";"419,8";"472,2";"438,7";"429,8";"491,4";"537,4";"538,3";"558,1";"544,6";"569,0";"599,0"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"698,8";"725,7";"715,9";"815,2";"901,7";"913,6";"769,7";"746,0";"773,2";"952,5";"885,5";"979,7";"1.095,3";"1.106,0";"1.083,2";"885,4";"1.177,3";"1.137,5";"1.138,4";"1.105,4";"1.170,7";"1.294,5";"1.347,0"
"08115";"Böblingen";"Landkreis";"680,9";"672,5";"656,8";"713,8";"750,1";"849,5";"827,3";"711,9";"738,0";"823,5";"763,0";"836,7";"952,8";"1.054,0";"947,0";"856,4";"1.195,4";"1.092,6";"998,5";"1.123,7";"1.227,3";"1.266,2";"1.328,7"
"08116";"Esslingen";"Landkreis";"611,6";"596,9";"577,4";"643,6";"681,8";"694,2";"679,4";"635,9";"620,8";"668,5";"672,8";"768,8";"839,6";"890,5";"698,8";"738,9";"838,2";"931,5";"949,7";"990,1";"1.022,5";"1.073,6";"1.155,6"
"08117";"Göppingen";"Landkreis";"506,5";"480,5";"486,9";"530,5";"573,2";"582,7";"561,2";"558,5";"519,9";"567,7";"550,9";"626,2";"680,7";"761,5";"619,0";"625,9";"697,7";"798,4";"833,6";"822,0";"867,8";"869,9";"912,4"
"08118";"Ludwigsburg";"Landkreis";"617,2";"598,4";"584,5";"669,9";"689,3";"719,1";"671,1";"669,2";"672,7";"713,4";"726,9";"802,6";"873,3";"933,9";"820,1";"770,0";"928,8";"940,4";"964,8";"997,1";"1.054,7";"1.117,4";"1.190,1"
"08119";"Rems-Murr-Kreis";"Landkreis";"578,7";"563,7";"539,1";"609,8";"639,6";"648,6";"634,9";"605,4";"586,4";"616,2";"639,2";"707,1";"768,0";"834,8";"711,8";"703,2";"775,9";"872,1";"870,6";"883,8";"941,7";"967,6";"1.082,2"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"637,2";"628,0";"681,0";"737,7";"794,3";"726,5";"716,6";"671,4";"582,2";"708,1";"713,6";"801,9";"851,8";"874,9";"686,8";"747,1";"909,8";"928,4";"1.082,1";"979,6";"1.061,6";"1.036,1";"1.102,8"
"08125";"Heilbronn";"Landkreis";"473,2";"487,9";"488,5";"539,0";"608,3";"663,2";"582,7";"613,1";"585,7";"632,6";"626,5";"853,3";"797,6";"903,9";"745,5";"839,2";"890,4";"1.007,4";"1.081,1";"1.023,1";"970,5";"1.022,6";"1.016,0"
