Kennziffer;Raumeinheit;Aggregat;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft;Steuerkraft
;;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
"03153";"Goslar";"Landkreis";"403,9";"367,6";"380,9";"409,3";"423,9";"410,5";"402,6";"376,9";"350,0";"359,9";"384,2";"402,9";"433,0";"500,9";"446,1";"484,4";"512,8";"534,1";"549,6";"570,4";"585,8";"623,1";"638,6"
"03154";"Helmstedt";"Landkreis";"487,7";"446,9";"480,8";"547,6";"536,9";"365,4";"364,3";"458,5";"402,2";"403,1";"388,2";"422,4";"489,2";"558,6";"491,4";"473,1";"494,8";"460,9";"497,0";"560,0";"585,4";"588,8";"670,2"
"03155";"Northeim";"Landkreis";"400,4";"387,6";"397,0";"412,8";"417,5";"411,8";"396,5";"391,3";"368,6";"397,9";"406,6";"416,0";"475,2";"511,9";"469,4";"449,1";"501,7";"584,1";"600,2";"621,1";"615,4";"629,6";"719,4"
"03157";"Peine";"Landkreis";"435,9";"394,5";"381,8";"439,1";"408,5";"419,3";"396,0";"378,9";"373,7";"388,0";"409,4";"448,3";"548,2";"539,5";"487,0";"482,9";"515,1";"579,9";"596,6";"618,1";"622,9";"647,9";"679,0"
"03158";"Wolfenbüttel";"Landkreis";"446,9";"402,0";"385,7";"429,3";"416,8";"417,7";"401,8";"399,5";"394,6";"406,8";"407,1";"489,4";"501,8";"544,4";"503,0";"504,1";"542,9";"584,5";"625,4";"644,3";"667,9";"702,2";"757,6"
"03159";"Göttingen";"Landkreis";"409,8";"402,8";"399,5";"419,5";"432,4";"426,2";"403,1";"396,7";"388,6";"402,5";"413,8";"473,6";"504,0";"545,5";"490,5";"493,1";"577,3";"617,6";"638,1";"652,8";"673,9";"694,3";"742,1"
"03241";"Region Hannover";"Landkreis";"571,3";"554,2";"533,5";"582,5";"595,9";"588,8";"546,2";"535,9";"493,3";"535,7";"571,4";"637,7";"686,1";"747,5";"648,0";"702,8";"758,4";"822,3";"842,1";"833,6";"878,8";"907,1";"971,3"
"03251";"Diepholz";"Landkreis";"494,4";"442,2";"436,3";"464,6";"472,2";"487,2";"455,7";"469,9";"454,2";"469,2";"490,4";"592,0";"659,8";"668,1";"646,1";"631,2";"669,3";"751,6";"763,8";"757,4";"790,3";"823,0";"866,0"
"03252";"Hameln-Pyrmont";"Landkreis";"491,6";"435,5";"463,6";"469,9";"504,7";"575,1";"477,1";"479,2";"411,2";"466,8";"497,5";"527,7";"509,4";"605,6";"552,9";"525,5";"545,8";"655,1";"631,1";"654,0";"716,0";"716,5";"671,2"
"03254";"Hildesheim";"Landkreis";"455,9";"423,6";"406,0";"443,7";"435,2";"445,9";"424,9";"446,2";"417,6";"447,2";"452,4";"473,7";"524,8";"542,1";"497,7";"481,8";"552,0";"603,5";"617,3";"643,0";"666,9";"674,0";"720,9"
"03255";"Holzminden";"Landkreis";"435,5";"430,6";"407,4";"424,3";"408,6";"453,3";"362,4";"396,4";"342,6";"379,3";"366,0";"431,0";"532,7";"563,6";"539,0";"517,1";"542,8";"601,3";"591,8";"682,3";"666,5";"743,4";"785,7"
"03256";"Nienburg (Weser)";"Landkreis";"428,8";"404,4";"402,3";"410,0";"417,7";"445,5";"420,6";"416,4";"404,0";"411,2";"446,1";"477,3";"477,7";"555,0";"450,0";"502,6";"542,6";"570,3";"615,1";"664,4";"669,4";"693,2";"728,7"
"03257";"Schaumburg";"Landkreis";"433,0";"404,9";"387,6";"398,2";"400,3";"397,4";"389,6";"374,8";"366,6";"379,0";"381,6";"402,2";"449,8";"510,8";"435,9";"460,1";"505,4";"529,2";"571,4";"593,0";"643,1";"630,4";"663,5"
"03351";"Celle";"Landkreis";"423,7";"411,6";"398,0";"430,5";"427,4";"424,4";"418,3";"429,1";"385,0";"391,6";"407,2";"449,6";"513,4";"585,2";"517,0";"507,8";"568,2";"596,0";"631,0";"666,1";"673,7";"660,2";"689,3"
"03352";"Cuxhaven";"Landkreis";"369,8";"337,7";"330,3";"349,5";"357,9";"362,1";"358,4";"340,1";"339,0";"331,1";"324,7";"358,2";"397,5";"445,3";"425,7";"431,7";"455,8";"495,8";"524,7";"551,9";"593,0";"649,0";"654,2"
"03353";"Harburg";"Landkreis";"517,4";"467,3";"444,1";"459,1";"464,9";"493,2";"466,6";"457,0";"466,8";"472,1";"473,3";"574,7";"611,2";"637,0";"593,4";"572,1";"636,4";"698,3";"712,9";"771,5";"800,3";"823,5";"880,2"
"03354";"Lüchow-Dannenberg";"Landkreis";"374,5";"316,7";"309,3";"327,6";"339,4";"332,0";"318,0";"317,9";"324,7";"328,8";"352,8";"378,1";"416,7";"411,5";"401,7";"381,9";"424,5";"470,9";"532,4";"529,8";"487,8";"525,8";"583,0"
